1, 426.801, 94.6684, 258.797
2, 427.116, 94.4131, 255.069
3, 427.063, 94.4078, 251.319
4, 424.906, 93.4774, 248.396
5, 423.549, 90.1195, 247.424
6, 421.567, 89.2658, 244.357
7, 421.663, 89.2592, 240.608
8, 421.119, 89.6245, 236.916
9, 418.137, 90.3197, 234.752
10, 416.166, 93.4503, 235.367
11, 416.033, 96.686, 233.477
12, 415.026, 97.7314, 230.019
13, 412.884, 100.307, 228.334
14, 409.152, 100.67, 228.387
15, 406.187, 102.955, 228.622
16, 403.79, 103.646, 231.421
17, 400.053, 103.433, 231.656
18, 397.735, 105.478, 229.532
19, 394.23, 105.278, 228.217
20, 393.177, 104.111, 224.811
21, 389.766, 103.916, 223.267
22, 388.866, 102.919, 219.766
23, 389.024, 99.5053, 218.221
24, 389.203, 98.1741, 214.72
25, 389.755, 99.5768, 211.286
26, 392.27, 100.686, 208.735
27, 392.428, 100.714, 204.989
28, 394.778, 99.8388, 202.201
29, 395.926, 100.356, 198.668
30, 395.707, 99.7869, 194.968
31, 397.228, 100.472, 191.61
32, 397.998, 100.185, 187.951
33, 399.919, 99.2759, 184.861
34, 399.74, 99.331, 181.116
35, 398.726, 98.8013, 177.545
36, 396.559, 96.3213, 175.752
37, 394.318, 93.4829, 174.76
38, 392.062, 91.3104, 172.697
39, 391.88, 89.6998, 169.316
40, 391.763, 89.6027, 165.569
41, 392.043, 91.3769, 162.277
42, 392.649, 90.5339, 158.673
43, 394.021, 89.3229, 155.4
44, 397.126, 88.629, 153.415
45, 397.593, 87.9005, 149.766
46, 397.852, 87.1796, 146.095
47, 397.475, 88.8927, 142.781
48, 396.896, 87.9763, 139.191
49, 393.686, 87.2334, 137.401
50, 390.416, 85.7244, 138.446
51, 389.775, 84.0151, 141.722
52, 390.689, 84.4367, 145.335
53, 393.75, 83.3275, 147.195
54, 397.379, 82.5242, 146.695
55, 399.799, 81.7872, 143.928
56, 399.729, 81.917, 140.181
57, 399.503, 82.418, 136.471
58, 398.951, 80.9345, 133.071
59, 399.82, 81.7574, 129.518
60, 401.171, 84.8236, 127.833
61, 402.16, 85.9665, 124.401
62, 404.765, 87.1076, 121.957
63, 405.883, 86.6776, 118.404
64, 407.181, 86.2602, 114.91
65, 407.929, 85.8497, 111.259
66, 410.215, 83.6471, 109.262
67, 413.872, 83.49, 110.075
68, 415.568, 84.6072, 113.228
69, 416.324, 88.189, 114.041
70, 418.621, 90.3799, 112.045
71, 418.727, 94.0392, 112.858
72, 420.197, 95.4407, 116.01
73, 423.857, 95.374, 116.824
74, 426.064, 93.1093, 118.839
75, 426.849, 92.8383, 122.496
76, 428.137, 92.5156, 126.003
77, 429.949, 92.6203, 129.285
78, 432.376, 92.6708, 132.143
79, 434.935, 90.2422, 133.413
80, 436.331, 89.4299, 136.798
