0	0
32.803	-1.688
58.504	0.643
87.288	-8.148
112.426	-16.75
137.377	-28.998
158.495	-44.702
175.969	-60.22
197.274	-72.28
218.581	-84.34
240.075	-92.755
261.756	-97.526
283.436	-102.296
305.305	-103.421
327.175	-104.547
349.231	-102.028
367.83	-95.676
386.429	-89.325
408.861	-79.516
427.648	-69.519
449.892	-63.355
475.405	-64.669
504.751	-62.524
530.078	-67.483
558.861	-76.273
580.354	-84.689
602.035	-89.459
631.006	-94.605
656.333	-99.562
674.557	-100.5
693.719	-83.214
709.235	-65.741
724.565	-51.912
740.082	-34.439
755.037	-27.899
773.449	-25.193
802.607	-26.693
831.953	-24.549
857.467	-25.862
882.98	-27.176
896.433	-49.795
910.075	-68.769
923.905	-84.098
946.148	-77.935
969.33	-53.547
981.578	-28.596
994.013	0
0	0
20.276	-21.324
36.006	-45.095
55.233	-69.915
69.915	-97.181
90.19	-118.505
110.464	-139.829
146.471	-146.82
175.135	-140.179
204.849	-130.04
225.124	-113.262
245.4	-96.482
270.219	-77.255
286.998	-59.428
307.273	-42.648
319.858	-38.803
349.222	-55.233
370.545	-73.061
388.723	-101.376
417.039	-121.301
439.411	-135.634
468.426	-140.528
497.09	-133.886
517.365	-117.107
536.592	-103.823
554.77	-94.035
583.434	-87.393
618.042	-86.345
644.609	-86.693
674.672	-88.092
700.89	-76.906
717.67	-59.077
730.953	-40.201
729.206	-20.625
723.962	0
0	0
9.326	-21.428
21.221	-47.332
27.977	-64.284
40.825	-86.665
58.15	-106.476
73.858	-118.288
91.472	-123.055
113.563	-125.251
129.561	-122.018
150.036	-116.216
170.511	-110.413
193.845	-94.042
214.609	-73.195
229.944	-58.44
245.28	-43.684
261.568	-25.407
273.38	-9.699
292.238	4.103
318.143	15.998
338.617	21.801
355.278	13.511
373.846	12.268
394.32	18.071
414.795	23.872
432.7	34.151
450.604	44.43
470.416	61.754
488.32	72.034
508.796	77.836
530.886	75.639
546.594	63.827
564.872	47.539
580.58	35.727
592.766	24.868
600.475	11.439
621.613	5.719
